dosya_adi,etiket,isik_siddeti_ortalamasi,standart_sapma,maksimum_deger,parlaklik_95,medyan,parlak_piksel_orani,kontrast,hist_0,hist_1,hist_2,hist_3,hist_4,hist_5,hist_6,hist_7,hist_8,hist_9,hist_10,hist_11,hist_12,hist_13,hist_14,hist_15
Au_ani_0001.jpg,0,11.067128499348959,14.282607584939889,203,37.0,7.0,0.09393310546875,203,76376,15376,3427,1621,808,374,178,77,38,15,9,3,2,0,0,0
Au_ani_0002.jpg,0,21.48797607421875,18.50713637929075,187,57.0,17.0,0.3209025065104167,187,44150,31883,13611,5240,2075,817,320,133,43,22,4,6,0,0,0,0
Au_ani_0003.jpg,0,0.6013590494791666,2.147182536952769,30,4.0,0.0,0.00010172526041666667,30,97988,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0004.jpg,0,2.3162638346354165,5.449773024175108,94,14.0,0.0,0.011199951171875,94,94463,3297,481,53,8,2,0,0,0,0,0,0,0,0,0,0
Au_ani_0005.jpg,0,0.92437744140625,3.4438681276225793,90,7.0,0.0,0.0024007161458333335,90,97227,937,78,45,10,7,0,0,0,0,0,0,0,0,0,0
Au_ani_0006.jpg,0,0.8661905924479166,2.7193221662305196,33,6.0,0.0,0.000213623046875,33,97552,751,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0007.jpg,0,0.19873046875,1.4337927795342575,31,0.0,0.0,4.0690104166666664e-05,31,98090,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0008.jpg,0,0.08649698893229167,1.0106021433430692,41,0.0,0.0,9.1552734375e-05,41,98153,149,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0009.jpg,0,0.3294677734375,2.145697110598978,47,0.0,0.0,0.0011088053385416667,47,97722,548,34,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0010.jpg,0,0.036081949869791664,0.5958281317251244,32,0.0,0.0,4.0690104166666664e-05,32,98276,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0011.jpg,0,2.540618896484375,5.52677532113442,74,15.0,0.0,0.009531656901041666,74,93947,4022,322,12,1,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0012.jpg,0,0.13518269856770834,1.0699539256350763,25,0.0,0.0,0.0,25,98228,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0013.jpg,0,0.04364013671875,0.597684195744014,23,0.0,0.0,0.0,23,98281,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0014.jpg,0,0.944000244140625,2.7065562604563693,42,6.0,0.0,0.0002950032552083333,42,97632,665,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0015.jpg,0,0.5937296549479166,2.1390999142605738,48,4.0,0.0,0.0004374186197916667,48,97963,331,9,1,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0016.jpg,0,0.375579833984375,1.7220264017366946,43,2.0,0.0,4.0690104166666664e-05,43,98100,203,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0017.jpg,0,0.3200480143229167,1.7055979077599273,32,1.0,0.0,0.00010172526041666667,32,98063,240,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0018.jpg,0,1.3502095540364583,3.067409329838,37,8.0,0.0,0.00030517578125,37,97558,740,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0019.jpg,0,1.0794779459635417,3.2968812308766084,40,9.0,0.0,0.0008138020833333334,40,97034,1264,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0020.jpg,0,0.18080647786458334,1.233552046602326,38,0.0,0.0,4.0690104166666664e-05,38,98193,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0021.jpg,0,0.253814697265625,1.369165494337427,42,1.0,0.0,0.00011189778645833333,42,98173,129,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0022.jpg,0,0.072998046875,0.7246008887055355,23,0.0,0.0,0.0,23,98278,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0023.jpg,0,0.5562235514322916,2.233790471216043,37,4.0,0.0,0.0005696614583333334,37,97824,470,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0024.jpg,0,0.3025716145833333,1.6616164224923728,44,1.0,0.0,0.00014241536458333334,44,98082,218,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0025.jpg,0,2.1045735677083335,3.916186559449884,44,11.0,0.0,0.0015360514322916667,44,96616,1636,52,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0026.jpg,0,1.2235514322916667,2.881356963955512,35,7.0,0.0,0.000244140625,35,97614,686,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0027.jpg,0,0.6165974934895834,2.3772980066185143,31,5.0,0.0,6.103515625e-05,31,97793,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0028.jpg,0,3.6306559244791665,6.531536463970767,82,17.0,0.0,0.015248616536458334,82,91663,6052,534,49,5,1,0,0,0,0,0,0,0,0,0,0
Au_ani_0029.jpg,0,0.6241556803385416,2.4692911292194277,33,5.0,0.0,0.00018310546875,33,97701,601,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0030.jpg,0,0.21033732096354166,1.34492232963023,27,0.0,0.0,2.0345052083333332e-05,27,98165,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0031.jpg,0,0.273956298828125,1.5522092204050715,27,1.0,0.0,2.0345052083333332e-05,27,98084,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0032.jpg,0,0.2147216796875,1.6905825637808047,64,0.0,0.0,0.0006612141927083334,64,98002,269,26,6,1,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0033.jpg,0,0.3064676920572917,2.5148445344077834,70,0.0,0.0,0.0026753743489583335,70,97728,404,131,36,5,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0034.jpg,0,0.21356201171875,1.5328916022622268,40,0.0,0.0,0.0003255208333333333,40,98055,239,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0035.jpg,0,0.8111775716145834,2.7508156750860375,63,6.0,0.0,0.0005289713541666666,63,97576,715,10,3,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0036.jpg,0,1.241455078125,3.4630719385016007,37,9.0,0.0,0.00103759765625,37,96898,1391,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0037.jpg,0,1.00811767578125,3.1492669795188575,41,8.0,0.0,0.0009358723958333334,41,97174,1114,16,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0038.jpg,0,0.48809814453125,2.2711410823391143,45,3.0,0.0,0.000518798828125,45,97778,511,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0039.jpg,0,0.04833984375,0.6231114783521021,25,0.0,0.0,0.0,25,98277,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0040.jpg,0,0.19178263346354166,1.11688389127067,23,1.0,0.0,0.0,23,98249,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0041.jpg,0,0.1983642578125,1.2507805870542055,23,0.0,0.0,0.0,23,98210,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0042.jpg,0,0.729827880859375,2.698596841584318,39,6.0,0.0,0.0005900065104166666,39,97539,746,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0043.jpg,0,0.3765360514322917,1.7645516593038546,32,2.0,0.0,4.0690104166666664e-05,32,98095,208,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0044.jpg,0,1.9734395345052083,4.304058449274551,48,12.0,0.0,0.002166748046875,48,96029,2201,73,1,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0045.jpg,0,0.7335611979166666,2.5194867060335553,33,5.0,0.0,0.0001220703125,33,97759,544,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0046.jpg,0,0.8589579264322916,3.043042213440457,57,6.0,0.0,0.0016988118489583333,57,97306,949,44,5,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0047.jpg,0,1.399139404296875,3.254888474691925,38,9.0,0.0,0.0003458658854166667,38,97367,931,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0048.jpg,0,1.78192138671875,4.485258277522664,51,12.0,0.0,0.00347900390625,51,95498,2702,102,2,0,0,0,0,0,0,0,0,0,0,0,0
Au_ani_0049.jpg,0,27.3790283203125,22.596356133548877,215,72.0,23.0,0.4444783528645833,215,34026,30726,17480,8731,4106,1882,820,335,134,36,20,6,1,1,0,0
Au_ani_0050.jpg,0,36.241312662760414,28.340593596682712,235,92.0,30.0,0.5748799641927084,235,24448,26983,19396,12130,7124,4009,2179,1113,512,250,107,35,12,5,1,0
Au_ani_0051.jpg,0,29.658284505208332,25.636082201924857,235,81.0,23.0,0.4607137044270833,235,33748,28539,16590,9200,5073,2638,1381,602,284,149,59,20,12,6,3,0
Au_ani_0052.jpg,0,24.830301920572918,20.626576520160757,214,65.0,20.0,0.3701171875,214,36876,35138,14730,6271,2805,1330,605,292,141,69,28,10,7,2,0,0
Au_ani_0053.jpg,0,29.8759765625,23.38010331066052,227,76.0,24.0,0.477386474609375,227,28676,33716,18466,8805,4442,2152,1112,536,228,94,49,18,4,3,3,0
Au_ani_0054.jpg,0,35.48530069986979,27.652326691675114,225,90.0,29.0,0.5634358723958334,225,24575,28222,19445,11546,6811,3901,1990,958,475,221,107,34,13,5,1,0
Au_ani_0055.jpg,0,23.486796061197918,21.544884689584915,250,67.0,18.0,0.3348897298177083,250,43247,30526,12722,6068,3008,1484,667,324,143,74,21,14,4,0,1,1
